Species,x,Height,RI,Shape,Fill,Label
PIPA,1,20,0.8,24,A,PP
PIPA,1.75,10,0.8,24,A,
PIPA,2.5,5,0.8,24,A,
QULA,4,10,0.2,21,C,QL
QULA,4.75,5,0.2,21,C,
QUMA,6,10,0.1,21,E,QM
QUGE,7,10,0.1,21,E,QG
