date,yearboutbegan,samplingprotocolversion,eventid,bouttype,domainid,siteid,plotid,subplotid,nestedsubplotid,taxonid,identificationqualifier,tagid,individualid,vstid,supportingstemtagid,pointid,stemazimuth,stemdistance,remarks,plotType,subtype
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,TRUE,QULA2,NA,3538,NEON.PLA.D03.OSBS.03538,NA,NA,NA,NA,NA,dead; tag removed; no other qualifying individuals ,tower,basePlot
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,TRUE,QULA2,NA,3539,NEON.PLA.D03.OSBS.03539,NA,NA,NA,NA,NA,dead; tag removed; no other qualifying individuals,tower,basePlot
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,TRUE,PIPA2,NA,3577,NEON.PLA.D03.OSBS.03577,NA,NA,NA,NA,NA,dead; tag removed,tower,basePlot
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,TRUE,QULA2,NA,4,NEON.PLA.D03.OSBS.00004,NA,NA,NA,NA,NA,dead; tag removed; no other qualifying individuals,tower,basePlot
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,TRUE,QULA2,NA,5,NEON.PLA.D03.OSBS.00005,NA,NA,NA,NA,NA,dead; tag removed; no other qualifying individuals,tower,basePlot
2015-08-24T00:00:00.000Z,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,1,QULA2,NA,3564,NEON.PLA.D03.OSBS.03564,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,1,QULA2,NA,3479,NEON.PLA.D03.OSBS.03479,NA,NA,57,168.6,14.8,NA,tower,basePlot
NA,2015,NEON.DOC.000987vE,vst_OSBS_2015,mapping,D03,OSBS,OSBS_032,21,TRUE,QULA2,NA,3515,NEON.PLA.D03.OSBS.03515,NA,NA,23,295.2,10.3,dead tag removed,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,1,QULA2,NA,3514,NEON.PLA.D03.OSBS.03514,NA,NA,23,74.8,19.1,Located in subplot 23,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,4,QULA2,NA,3521,NEON.PLA.D03.OSBS.03521,NA,NA,23,356,19.5,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3580,NEON.PLA.D03.OSBS.03580,NA,NA,NA,NA,NA,NA,tower,basePlot
