date,yearboutbegan,samplingprotocolversion,eventid,bouttype,domainid,siteid,plotid,subplotid,nestedsubplotid,taxonid,identificationqualifier,tagid,individualid,vstid,supportingstemtagid,pointid,stemazimuth,stemdistance,remarks,plotType,subtype
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3578,NEON.PLA.D03.OSBS.03578,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,1,PIPA2,NA,3480,NEON.PLA.D03.OSBS.03480,NA,NA,39,43.8,2.6,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3563,NEON.PLA.D03.OSBS.03563,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3562,NEON.PLA.D03.OSBS.03562,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3561,NEON.PLA.D03.OSBS.03561,NA,NA,NA,NA,NA,NA,tower,basePlot
2015-08-27T00:00:00.000Z,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,39,2,QULA2,NA,3560,NEON.PLA.D03.OSBS.03560,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3558,NEON.PLA.D03.OSBS.03558,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3557,NEON.PLA.D03.OSBS.03557,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3556,NEON.PLA.D03.OSBS.03556,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,2,PIPA2,NA,3554,NEON.PLA.D03.OSBS.03554,NA,NA,NA,NA,NA,NA,tower,basePlot
2017-08-27T00:00:00.000Z,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,39,1,QULA2,NA,3551,NEON.PLA.D03.OSBS.03551,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,2,QULA2,NA,3482,NEON.PLA.D03.OSBS.03482,NA,NA,57,131.1,16.2,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,4,QULA2,NA,3510,NEON.PLA.D03.OSBS.03510,NA,NA,23,321.7,15,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,QULA2,NA,3520,NEON.PLA.D03.OSBS.03520,NA,NA,23,311.7,21.6,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,3,QULA2,NA,3540,NEON.PLA.D03.OSBS.03540,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,03483B,NEON.PLA.D03.OSBS.03483B,NA,NA,57,121.6,11.7,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,03483A,NEON.PLA.D03.OSBS.03483A,NA,NA,57,121.6,11.7,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,3,PIPA2,NA,3475,NEON.PLA.D03.OSBS.03475,NA,NA,57,106.4,3.8,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,3,QULA2,NA,3476,NEON.PLA.D03.OSBS.03476,NA,NA,57,115.4,9.1,tag to low @ 120 cm; measured at 140cm  b/c abnormality,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,NA,NA,QULA2,NA,3477,NEON.PLA.D03.OSBS.03477,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,3,QULA2,NA,3478,NEON.PLA.D03.OSBS.03478,NA,NA,57,149.3,8.2,tag is at 126 cm,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,QULA2,NA,3481,NEON.PLA.D03.OSBS.03481,NA,NA,23,313.6,28.8,tag to low= 120 cm ; measured at 135 bc abnormality on bole,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,3484,NEON.PLA.D03.OSBS.03484,NA,NA,57,111.8,12.3,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,3485,NEON.PLA.D03.OSBS.03485,NA,NA,57,114.7,11.7,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,2,PIPA2,NA,3500,NEON.PLA.D03.OSBS.03500,NA,NA,23,289.4,4.5,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,PIPA2,NA,3501,NEON.PLA.D03.OSBS.03501,NA,NA,57,95,10.1,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,3503,NEON.PLA.D03.OSBS.03503,NA,NA,57,128.9,24.8,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3517,NEON.PLA.D03.OSBS.03517,NA,NA,23,313,27.2,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,NA,QULA2,NA,3502,NEON.PLA.D03.OSBS.03502,NA,NA,57,131.2,25,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,1,QULA2,NA,3508,NEON.PLA.D03.OSBS.03508,NA,NA,23,271.3,11.1,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,1,QULA2,NA,3509,NEON.PLA.D03.OSBS.03509,NA,NA,23,282.2,11.7,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,4,QULA2,NA,3511,NEON.PLA.D03.OSBS.03511,NA,NA,23,332.4,21.2,main bole broken,tower,basePlot
2015-08-27T00:00:00.000Z,2015,NEON.DOC.000987vE,vst_OSBS_2015,tagging,D03,OSBS,OSBS_032,21,4,PIPA2,NA,3512,NEON.PLA.D03.OSBS.03512,NA,NA,NA,NA,NA,TaxonID was not recorded on the data sheet.  =  All Better,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,4,QULA2,NA,3513,NEON.PLA.D03.OSBS.03513,NA,NA,23,348.8,19,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,QULA2,NA,3519,NEON.PLA.D03.OSBS.03519,NA,NA,23,309.4,22,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,QULA2,NA,3518,NEON.PLA.D03.OSBS.03518,NA,NA,23,310.5,27.5,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,39,1,QULA2,NA,3522,NEON.PLA.D03.OSBS.03522,NA,NA,57,179.3,15.8,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3523,NEON.PLA.D03.OSBS.03523,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3524,NEON.PLA.D03.OSBS.03524,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,QULA2,NA,3525,NEON.PLA.D03.OSBS.03525,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3526,NEON.PLA.D03.OSBS.03526,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3527,NEON.PLA.D03.OSBS.03527,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3528,NEON.PLA.D03.OSBS.03528,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3529,NEON.PLA.D03.OSBS.03529,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3530,NEON.PLA.D03.OSBS.03530,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,3,QULA2,NA,3531,NEON.PLA.D03.OSBS.03531,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,QULA2,NA,3533,NEON.PLA.D03.OSBS.03533,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3532,NEON.PLA.D03.OSBS.03532,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3535,NEON.PLA.D03.OSBS.03535,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3534,NEON.PLA.D03.OSBS.03534,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3536,NEON.PLA.D03.OSBS.03536,NA,NA,NA,NA,NA,tag not found,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3537,NEON.PLA.D03.OSBS.03537,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,3,PIPA2,NA,3541,NEON.PLA.D03.OSBS.03541,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,NA,QULA2,NA,3543,NEON.PLA.D03.OSBS.03543,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,QULA2,NA,3544,NEON.PLA.D03.OSBS.03544,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,3,PIPA2,NA,3549,NEON.PLA.D03.OSBS.03549,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,QULA2,NA,3545,NEON.PLA.D03.OSBS.03545,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,QULA2,NA,3546,NEON.PLA.D03.OSBS.03546,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,3,PIPA2,NA,3547,NEON.PLA.D03.OSBS.03547,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,QULA2,NA,3548,NEON.PLA.D03.OSBS.03548,NA,NA,NA,NA,NA,burnt tag found on ground,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,PIPA2,NA,3550,NEON.PLA.D03.OSBS.03550,NA,NA,NA,NA,NA,suspected wire found on ground near sapling but no tag,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3566,NEON.PLA.D03.OSBS.03566,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,39,1,PIPA2,NA,3552,NEON.PLA.D03.OSBS.03552,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,QULA2,NA,3592,NEON.PLA.D03.OSBS.03592,NA,NA,23,327.5,22.1,measured at 170 cm bc abnormality on bole,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3565,NEON.PLA.D03.OSBS.03565,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3567,NEON.PLA.D03.OSBS.03567,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3568,NEON.PLA.D03.OSBS.03568,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3569,NEON.PLA.D03.OSBS.03569,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,4,PIPA2,NA,3572,NEON.PLA.D03.OSBS.03572,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,PIPA2,NA,3570,NEON.PLA.D03.OSBS.03570,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,4,PIPA2,NA,3571,NEON.PLA.D03.OSBS.03571,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,2,QULA2,NA,3573,NEON.PLA.D03.OSBS.03573,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,4,PIPA2,NA,3574,NEON.PLA.D03.OSBS.03574,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,4,PIPA2,NA,3575,NEON.PLA.D03.OSBS.03575,NA,NA,NA,NA,NA,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,1,QULA2,NA,6013,NEON.PLA.D03.OSBS.06013,NA,NA,23,294,18,aka 3516,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,4,QULA2,NA,3576,NEON.PLA.D03.OSBS.03576,NA,NA,NA,NA,NA,tag not found,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,mapping,D03,OSBS,OSBS_032,21,3,PIPA2,NA,3591,NEON.PLA.D03.OSBS.03591,NA,NA,23,319.2,25.4,NA,tower,basePlot
2014-12-05T00:00:00.000Z,2014,NEON.DOC.000987vD,vst_OSBS_2014,tagging,D03,OSBS,OSBS_032,21,1,PIPA2,NA,3594,NEON.PLA.D03.OSBS.03594,NA,NA,NA,NA,NA,aka 6014,tower,basePlot
2016-09-12T00:00:00.000Z,2016,NEON.DOC.000987vF,vst_OSBS_2016,tagging,D03,OSBS,OSBS_032,39,3,QULA2,NA,6017,NEON.PLA.D03.OSBS.06017,NA,NA,NA,NA,NA,Phenology tree,tower,basePlot
2016-09-12T00:00:00.000Z,2016,NEON.DOC.000987vF,vst_OSBS_2016,mapping,D03,OSBS,OSBS_032,39,3,PIPA2,NA,6016,NEON.PLA.D03.OSBS.06016,NA,NA,57,177.9,1,NA,tower,basePlot
