siteid,eventid,individualid,growthform,stemdiameter,basalstemdiametermeasurementheight,maxcrowndiameter,vdapexbreakheight,maxbasecrowndiameter,samplingprotocolversion,plotid,tagid,plantstatus,measurementheight,vdapexheight,ninetycrowndiameter,vdbasebreakheight,ninetybasecrowndiameter,remarks,date,domainid,subplotid,nestedsubplotid,tagstatus,shape,basalstemdiameter,vdbaseheight,canopyposition,breakdiameter,basecrownheight,dataqf,plotType,subtype
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.06013,sbt,14.8,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,6013,5,160,6.2,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03532,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3532,1,NA,0.8,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,3.7,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03594,NA,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3594,8,NA,NA,NA,NA,NA,dead,2016-09-12T00:00:00.000Z,D03,21,TRUE,untagged,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03536,NA,NA,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3536,14,NA,NA,NA,NA,NA,tag not found,2016-09-12T00:00:00.000Z,D03,21,TRUE,untagged,NA,NA,NA,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03572,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3572,6,NA,0.4,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,3.9,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03571,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3571,1,NA,1.1,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,3.9,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03510,sbt,28.2,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3510,1,130,9.3,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-0.8,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03574,sbt,10.5,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3574,1,130,9.2,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03511,sbt,14.3,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3511,6,130,3,NA,NA,NA,main bole broken,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03512,sbt,15.4,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3512,1,130,13.4,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03575,sap,NA,10,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3575,6,NA,1.2,NA,NA,NA,crown scorched,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,4,0,NA,NA,NA,NA,tower,basePlot
OSBS,vst_OSBS_2016,NEON.PLA.D03.OSBS.03513,sbt,12.8,NA,NA,NA,NA,NEON.DOC.000987vF,OSBS_032,3513,1,130,7,NA,NA,NA,NA,2016-09-12T00:00:00.000Z,D03,21,TRUE,ok,NA,NA,-1,NA,NA,NA,NA,tower,basePlot
